,LogisticRegressionModel,LogisticRegressionModel_SHAP,RandomForestModel,RandomForestModel_SHAP,SVMModel,SVMModel_SHAP,GradientBoostingModel,GradientBoostingModel_SHAP,XGBoostModel,XGBoostModel_SHAP,CatBoostModel,CatBoostModel_SHAP,ANOVA_F,MutualInfo,LogisticRegressionModel_rank,LogisticRegressionModel_SHAP_rank,RandomForestModel_rank,RandomForestModel_SHAP_rank,SVMModel_rank,SVMModel_SHAP_rank,GradientBoostingModel_rank,GradientBoostingModel_SHAP_rank,XGBoostModel_rank,XGBoostModel_SHAP_rank,CatBoostModel_rank,CatBoostModel_SHAP_rank,ANOVA_F_rank,MutualInfo_rank,mean_rank
aVR_shannon_entropy,0.0687927424331145,0.00024193352364251984,0.005993838422621538,0.0023855249410941744,0.0,0.0,0.004199787636649778,0.0,0.0030503224,0.0,0.330449159131393,0.0,1.0496419301414246,0.0031454826874035557,111.0,122.0,42.0,11.0,183.5,257.0,85.0,232.5,144.0,218.5,71.0,226.5,168.0,180.0,146.57142857142858
V5_p_amplitude,0.06397088702658446,0.0020120500105483075,0.004404484727102136,0.0009334101726757801,0.0,0.0009329319647432222,0.0034616643099059496,0.0,0.0021695185,0.0,0.21393714922312293,0.0,0.49803066072776875,0.03671982270691143,125.0,58.0,64.0,33.0,183.5,70.0,108.0,232.5,291.0,218.5,199.0,226.5,217.0,34.0,147.14285714285714
I_st_slope,0.13679667304736395,0.0005571798708412876,0.0015513424710345476,0.0,0.0,0.0,0.002820443838566597,0.0008042124944760753,0.0030974993,0.0,0.2670217572591802,0.0,4.8644873634364,0.020439786732956877,18.0,112.0,181.0,220.0,183.5,257.0,131.0,101.0,141.0,218.5,133.0,226.5,56.0,86.0,147.46428571428572
COVID-19,0.16287907405575303,0.005121864259201084,0.0,0.0,0.0,0.002879020367424241,0.0005885197580653417,0.0,0.0043278574,0.0010127393384756279,0.07045317320596839,0.0,3.6066976048488555,0.014214763207992975,7.0,18.0,305.0,220.0,183.5,8.0,288.0,232.5,22.0,56.0,317.0,226.5,70.0,111.0,147.46428571428572
V1_rms,0.018943081638825247,0.0,0.004532428047459141,0.0,0.0,0.0006485407668113456,0.006227492806697968,0.0010676540008259957,0.0034238524,0.0,0.4865135515613742,0.0002401170399700045,0.2749670024280972,0.0005096249802165609,274.5,239.0,62.0,220.0,183.5,96.0,30.0,82.0,98.0,218.5,33.0,90.0,250.5,195.0,148.0
V6_r_amplitude,0.0651044109448552,0.0,0.010049622590211098,0.0018718943583335363,0.0,0.0,0.004397620040857041,0.0018509344930369394,0.0019881392,0.0008841551020331152,0.2822235790876149,0.0009877652243365192,0.16997197428368366,0.0,122.0,239.0,18.0,16.0,183.5,257.0,79.0,73.0,308.0,59.0,114.0,55.0,274.0,275.5,148.07142857142858
V5_heart_rate,0.07149679870086409,0.0,0.0028138177173950753,0.0,0.0,0.0,0.002812525881330962,0.0,0.003406814,0.0,0.24771697386008348,0.0006051620010793029,11.836258796845977,0.032850409116410795,102.0,239.0,117.0,220.0,183.5,257.0,132.0,232.5,100.0,218.5,152.0,69.0,15.0,48.0,148.96428571428572
V3_std,0.06595714486871898,0.0012008492865193282,0.0043444452768025684,0.0,0.0,0.0006384397847275313,0.0026901822932355072,0.001651856127212398,0.0037632757,0.00040715273158602,0.1606862438388869,0.0,0.5434333897188333,0.0,117.5,81.0,65.0,220.0,183.5,99.0,138.0,78.0,58.0,77.0,262.0,226.5,211.5,275.5,149.46428571428572
V6_st_slope,0.13720006028907986,0.00042766325494173846,0.002038746398393218,0.00045712447029763205,0.0,0.0,0.0005818246273663182,0.0,0.0022877615,0.0027852564777142595,0.30004700697667447,0.0013734978134418215,2.7926947746304673,0.0,17.0,117.0,152.0,57.0,183.5,257.0,290.0,232.5,270.0,29.0,98.0,38.0,86.0,275.5,150.17857142857142
II_zero_crossings,0.06373453800869033,0.0010584786851337848,0.0009867506383697375,0.0,0.0,0.0,0.0036150755460397786,0.0,0.0036307725,0.002048902912851148,0.27901827795606726,0.0013192566904635915,1.1830819858414623,0.0,128.0,91.0,215.0,220.0,183.5,257.0,101.0,232.5,70.0,36.0,119.0,41.0,154.0,275.5,151.67857142857142
V2_kurtosis,0.005762938233852343,0.0,0.0070686762830868555,0.0,0.0,0.0010026452856935803,0.004933596582949523,0.0,0.0037944848,0.0,0.14359029732680126,7.10127888966986e-05,2.4504703727356563,0.05123098836020912,337.0,239.0,31.0,220.0,183.5,64.0,63.0,232.5,54.0,218.5,281.0,98.0,96.0,9.0,151.89285714285714
aVL_qtc_sd,0.08858967650382243,0.0013248345641524843,0.0020521204647531563,0.00010070156418536166,0.0,0.0,0.0027412741073096726,0.0007050015708323459,0.003272912,0.0,0.2835918841681212,0.0011884485890991225,0.08554471707284605,0.0,74.0,75.0,150.0,82.0,183.5,257.0,137.0,107.0,118.0,218.5,112.0,48.0,297.0,275.5,152.46428571428572
obniżenie odporności,0.07431635148341151,0.001679039526348632,0.003515263358239788,0.0,0.0,0.0013803668923581432,0.0010576468875288815,0.0,0.0,0.0,0.14428586327447165,0.0005926653988114056,9.320523261407851,0.043243672857159465,94.0,68.0,86.0,220.0,183.5,36.0,264.0,232.5,342.5,218.5,278.0,70.0,25.0,23.0,152.92857142857142
V6_heart_rate,0.06698563852456241,0.0,0.006273598630984364,0.000552638091513883,0.0,0.0,0.003383727096565957,0.0,0.0025154431,0.0,0.32293076688514516,0.0,11.894492802195025,0.007111860690807159,113.0,239.0,37.0,54.0,183.5,257.0,110.0,232.5,235.0,218.5,76.0,226.5,14.0,154.0,153.57142857142858
V1_shannon_entropy,0.07041739758739314,0.0,0.0012175246160253447,0.0,0.0,0.00038178552877395045,0.01017724615652665,0.004930275829023237,0.005795635,0.0,0.1891315043717504,0.0,0.3950411471187212,0.009421216148883582,105.0,239.0,198.0,220.0,183.5,125.0,6.0,27.0,3.0,218.5,232.0,226.5,232.0,143.0,154.17857142857142
aVL_qrs_duration_var,0.04625894184082508,0.0042670079583877075,0.002333328943734269,0.0,0.0,0.00259552832467179,0.001957321185184825,0.0,0.0035444128,0.0,0.31296267426278973,0.0,2.5231797425800875,0.0,172.0,26.0,132.0,220.0,183.5,13.0,193.0,232.5,89.0,218.5,89.0,226.5,93.0,275.5,154.53571428571428
niewydolność serca przewlekła,0.1423427882130086,0.011330346456763568,0.0,0.0,0.0,0.0030469987590141735,0.00037885187807974654,0.0,0.00328573,0.0,0.13750387668946049,0.0001526719148371524,10.683218416787158,0.005419585897529,11.0,3.0,305.0,220.0,183.5,7.0,309.0,232.5,114.0,218.5,293.0,95.0,18.0,164.0,155.25
aVL_zero_crossings,0.013469642884695023,0.0,0.0040263045104348685,8.384606684971861e-05,0.0,0.00027150681721349184,0.0028465308207120833,0.005207968479099349,0.0026348697,0.001608526647749065,0.19365711955142925,0.0,0.6919603810411973,0.017439656313801066,299.0,239.0,70.0,83.0,183.5,148.0,130.0,22.0,216.0,42.0,226.0,226.5,192.0,98.0,155.35714285714286
V4_p_amplitude,0.09295302221492772,0.004055331169872596,0.0028955863804424847,0.0008600307193874318,0.0,0.0017590946595920913,0.0021075177047354034,0.0,0.0026038506,0.0,0.3130915343311626,0.0,0.14388717999054493,0.0,69.0,28.0,109.0,37.0,183.5,28.0,180.0,232.5,220.0,218.5,87.0,226.5,281.0,275.5,155.39285714285714
V6_qtc_mean,0.05785615066559554,0.001875905149002862,0.0022070367762462096,0.0,0.0,0.0,0.0030102592198071564,0.0023519473833363363,0.003519264,0.0,0.28762834717087077,0.0,3.6522729216743204,0.0,147.0,62.0,142.0,220.0,183.5,257.0,121.0,58.0,92.0,218.5,107.0,226.5,67.0,275.5,155.5
aVL_qrs_duration,0.08463698762735011,0.005438459474928111,0.0022586221515561115,0.0,0.0,0.0014954082773886686,0.0013368859488978504,0.0,0.0029947595,0.0,0.20746393149948963,0.0,1.4068591460210498,0.018599811844586256,82.0,15.0,140.0,220.0,183.5,31.0,238.0,232.5,151.0,218.5,210.0,226.5,145.0,92.0,156.07142857142858
aVR_std,0.025572343846523328,0.0,0.004475728236255183,0.0,0.0,0.0,0.008855436811080508,0.0027626231128403686,0.0021968768,0.0019331498436686678,0.3925706761279299,0.0,0.19580831285217815,0.023460918540666675,250.5,239.0,63.0,220.0,183.5,257.0,13.0,50.0,285.0,38.0,50.0,226.5,267.5,75.0,158.42857142857142
V1_mean,0.13939818355326994,0.0,0.004559480019350982,0.0,0.00021413276231263545,0.0,0.0018401449581819604,0.0,0.0036313732,0.0,0.28083780912373046,0.0,3.194792558285068,0.0,14.0,239.0,61.0,220.0,13.0,257.0,201.0,232.5,69.0,218.5,115.0,226.5,78.0,275.5,158.57142857142858
V2_heart_rate,0.047455621768655996,0.0,0.00024238105898807596,0.0,0.0,0.0,0.0015697797261858637,0.0,0.0036899236,0.0,0.3280432386682508,0.0005654909326407016,10.478471144617487,0.05523851934647572,168.0,239.0,244.0,220.0,183.5,257.0,221.0,232.5,64.0,218.5,74.0,75.0,19.0,6.0,158.67857142857142
V4_p_amplitude_var,0.12550665141256695,0.009079612855919319,0.0025922380892621764,0.0,0.0,0.0028199719884513066,0.001447371114397781,0.0008501902330563972,0.002310798,0.0,0.18259769661121789,0.0,1.8882888437092713,0.0,25.0,5.0,124.0,220.0,183.5,10.0,229.0,98.0,267.0,218.5,237.0,226.5,116.0,275.5,159.64285714285714
pO2 (1. gaz. 1 TISS),0.052397756835758806,0.0006236813154682859,0.0016943180185220313,0.0,0.0,0.00033339542368233623,0.004426123708465389,0.00250867301297291,0.0023539078,0.00034015896147668453,0.3176892655199793,0.0,0.6082449910959102,0.0,162.0,108.0,178.0,220.0,183.5,134.0,76.0,55.0,258.0,78.0,78.0,226.5,204.0,275.5,159.75
II_t_amplitude,0.08957319982698651,0.0008087144934639263,0.0027915080677322866,0.0,0.0,0.0,0.0030068384976801154,0.0,0.002215966,0.0,0.396652194680879,0.00024027927875121442,5.598187797400268,0.0,73.0,103.0,118.0,220.0,183.5,257.0,122.0,232.5,280.0,218.5,46.0,89.0,44.0,275.5,161.57142857142858
I_t_amplitude,0.07526475247979215,0.001271971129171295,0.0035404127577923516,7.987705709654465e-05,0.0,0.0,0.004971482250498211,0.0,0.0036153842,0.0,0.14080790943051089,0.0,1.5619749121511448,0.0,93.0,78.0,85.0,84.0,183.5,257.0,56.0,232.5,74.0,218.5,285.0,226.5,135.0,275.5,163.10714285714286
V4_skewness,0.09223291748018768,0.002312429065617886,0.0035072820575514437,0.0,0.0,0.0019119298352997564,0.004962731845356895,0.0,0.0027208873,0.0,0.12641222538872748,0.0,1.474700565641332,0.0,71.0,51.0,87.0,220.0,183.5,24.0,57.0,232.5,204.0,218.5,300.0,226.5,139.0,275.5,163.53571428571428
V4_t_amplitude,0.04947571951862015,0.0,0.0059693124200330015,0.000745397339355782,0.0,0.00029638974058293323,0.004422376365128143,0.0009355209834337367,0.0023663568,0.0,0.13795016229181487,0.0,6.556285009847542,0.0,164.0,239.0,43.0,42.0,183.5,142.0,78.0,91.0,257.0,218.5,292.0,226.5,41.0,275.5,163.78571428571428
V1_p_duration,0.09639136067562797,0.0019123342798650878,0.002118871799107522,0.0,0.0,0.0012288035134097493,0.000683587496213002,0.0,0.0033356403,0.0,0.1404190881005483,0.0,0.6397244216285295,0.04301427127929869,62.0,61.0,144.0,220.0,183.5,50.0,280.0,232.5,109.0,218.5,286.0,226.5,200.0,26.0,164.21428571428572
aVF_qtc_mean,0.10273743376165134,0.0,0.002103883698408469,0.0,0.0,0.0,0.0025955464387574113,0.0,0.0027679855,0.0,0.38392750156243566,0.0,7.063993787052351,0.01436640205735773,53.0,239.0,147.0,220.0,183.5,257.0,143.0,232.5,195.0,218.5,54.0,226.5,35.0,109.0,165.21428571428572
III_signal_quality,0.106963637162659,0.003324690689762729,0.0,0.0,0.0,0.0013998523189426902,6.499263774995209e-06,0.0,0.005795707,0.0,0.057437552417155896,0.0,2.4040109305495068,0.026140973741603846,45.0,32.0,305.0,220.0,183.5,35.0,336.0,232.5,2.0,218.5,322.0,226.5,97.0,65.0,165.71428571428572
aVF_st_level,0.018162904748764065,0.0,0.0022941707875335183,0.0004797018435022287,0.0,0.0,0.0027505773252465664,0.0034181016710365737,0.0033359833,0.000713691928839675,0.14340766667389568,0.0,0.03694507240223198,0.060844118392140656,280.0,239.0,137.0,56.0,183.5,257.0,136.0,41.0,108.0,65.0,282.0,226.5,309.0,5.0,166.07142857142858
II_p_duration,0.1103177209740246,0.0029719488500997288,0.0,0.0,0.0,0.001220406107025676,0.002190293017877542,0.0,0.0029259427,0.0,0.3161280992246873,0.0,1.8020757767032596,0.0,36.0,36.0,305.0,220.0,183.5,52.0,173.0,232.5,169.0,218.5,81.0,226.5,122.0,275.5,166.46428571428572
aVL_p_amplitude,0.09867509579772654,0.00044358795522009644,0.0034042314108231114,0.00018215951520167024,0.0,0.0,0.002006133562874201,0.002095003237300853,0.0023698325,0.0,0.24845809593439852,0.0,0.8791242009289455,0.0,57.0,116.0,91.0,75.0,183.5,257.0,189.0,63.0,256.0,218.5,151.0,226.5,182.0,275.5,167.21428571428572
V3_heart_rate,0.04377628456574605,0.0,0.003886237699215113,0.0006638570431696327,0.0,0.0,0.0006541201989499414,0.0,0.002945451,0.0,0.21660681834879206,0.0,10.133295877200212,0.03735623684103184,179.0,239.0,75.0,45.0,183.5,257.0,283.0,232.5,164.0,218.5,191.0,226.5,20.0,31.0,167.5
"podaż płynów w dobie przyjęcia (ml) - okienko ""RAZEM"" po prawej stronie pod wierszem ""woda endogenna"" (TISS nr 1)",0.007624330311991952,0.0,0.0034433776661986592,0.00019523583598739347,0.0,0.0,0.006861284584975309,0.0025734948608826156,0.0021406948,0.0,0.34119278061840924,0.0,1.2396765548266222,0.008458194318379464,324.0,239.0,89.0,71.0,183.5,257.0,26.0,54.0,294.0,218.5,67.0,226.5,152.0,147.0,167.75
aVF_shannon_entropy,0.029663478471566567,0.0,0.0020735912524429,0.0,0.0,0.0009319361003262256,0.002321064032469934,0.0033126094068789635,0.005548286,0.0,0.1910519243424555,0.0,0.13474019152444844,0.01502533243224824,228.0,239.0,148.0,220.0,183.5,71.0,161.0,42.0,5.0,218.5,229.0,226.5,284.0,104.0,168.53571428571428
aVR_kurtosis,0.0051342342539291005,0.0,0.0031132279432078015,0.0,0.0,0.0013189627137431812,0.004119414489131015,0.0007053961877184175,0.0024023135,0.0,0.20686489455263488,0.0,3.954486822927332,0.02116635474227624,342.0,239.0,99.0,220.0,183.5,42.0,87.0,106.0,249.0,218.5,211.0,226.5,62.0,81.0,169.03571428571428
V1_st_level,0.06608839403905639,0.004535872102103971,0.000547864116728103,0.0,0.0,0.0001806966072152414,0.0006021373272704306,0.0,0.0025487568,0.0,0.2391082224454422,0.0005632142214853627,2.450874452864805,0.011577923242453325,116.0,22.0,233.0,220.0,183.5,159.0,286.0,232.5,232.0,218.5,165.0,77.0,95.0,127.0,169.03571428571428
aVL_t_amplitude,0.06281312300987713,0.0,0.00176282593907103,0.0,0.0,0.0,0.0032948640909286047,0.0,0.004651678,0.0,0.23285467824746725,0.0,1.6489217310264863,0.025414894555537026,132.0,239.0,172.0,220.0,183.5,257.0,113.0,232.5,12.0,218.5,175.0,226.5,131.0,67.0,169.92857142857142
I_qrs_duration_var,0.10816901624014101,0.0,0.005876107709741256,0.0,0.0,0.0,0.0019089182858570846,0.0,0.0035619545,0.0,0.28884513208961504,0.0,1.3940349348018066,0.002526181132335381,43.0,239.0,44.0,220.0,183.5,257.0,196.0,232.5,84.0,218.5,105.0,226.5,146.0,185.0,170.0
V3_zero_crossings,0.06374314276453136,0.0,0.002273675562179145,0.0,0.0,0.0002488232460759368,0.0015502974656672506,0.004894191814649675,0.002630223,0.0032550525631697596,0.23643093786621935,0.0012542538687163795,0.00395311422094679,0.0,127.0,239.0,139.0,220.0,183.5,152.0,222.0,28.0,217.0,25.0,170.0,45.0,338.0,275.5,170.07142857142858
GLASGOW,0.08814354392345718,0.0,0.0018376690202815784,0.0,0.0,0.0,0.001409563734098117,0.0016609573810945912,0.002423711,0.0024909099810356133,0.33896095155021466,0.0,2.7754545821212013,0.0,75.5,239.0,168.0,220.0,183.5,257.0,230.0,77.0,246.0,31.0,69.0,226.5,87.5,275.5,170.39285714285714
V2_st_level,0.011851893485352755,0.0,0.0052815072906622716,0.00025898730612345267,0.0,0.0006376349991296623,0.003131399905550837,0.0,0.0028588427,0.0015915750502584626,0.21250538360259458,0.0,0.14489920579552584,0.005643442466601867,302.0,239.0,50.0,69.0,183.5,100.0,116.0,232.5,183.0,44.0,201.0,226.5,280.0,162.0,170.60714285714286
aVF_p_amplitude,0.06345818577508225,0.0,0.0,0.0,0.00193548387096778,0.0012611196503983435,0.0036784093005786467,0.0,0.0028116347,0.0,0.3241594535221973,0.0,1.6869855282766606,0.0,129.0,239.0,305.0,220.0,4.5,45.0,99.0,232.5,192.0,218.5,75.0,226.5,127.0,275.5,170.60714285714286
V5_snr_db,0.11303541153933139,0.0010661912442370982,0.0,0.0,0.0,0.00022068582719777675,0.0021877287683285587,0.0,0.0028489141,0.0,0.20219822613737548,0.00022501793198757928,1.9533420570665456,0.0040971199606258946,33.0,89.0,305.0,220.0,183.5,155.0,174.0,232.5,187.0,218.5,217.0,92.0,112.0,174.0,170.89285714285714
aVL_heart_rate,0.021446396426952112,0.0,0.0,0.0,0.0,0.0,0.002262534959209707,0.0,0.004914785,0.0007001072397974097,0.31251720874535993,0.0006499987496542436,11.172440763525392,0.0,266.0,239.0,305.0,220.0,183.5,257.0,168.0,232.5,8.0,69.0,90.0,64.0,16.0,275.5,170.96428571428572
przewlekła choroba niedokrwienna serca,0.10353132993496181,0.0034401260639777722,0.0025249564560912295,0.00016963454762472014,0.0,0.00025384217762739717,8.444921568420913e-07,0.0,0.0026659912,0.0,0.05668614506242595,0.0,5.251028750150995,0.00314984607409996,50.0,31.0,126.0,77.0,183.5,151.0,337.0,232.5,210.0,218.5,323.0,226.5,50.0,179.0,171.07142857142858
V3_hrv_sdnn,0.0628133933623171,0.0,0.0039059831918337603,0.000645930382521799,0.0,0.0,0.004317682322987852,0.0,0.0028717355,0.0,0.2881137099611522,0.0,0.18530989305666276,0.007198834007809962,131.0,239.0,73.0,46.0,183.5,257.0,80.0,232.5,180.0,218.5,106.0,226.5,270.0,153.0,171.14285714285714
aVR_zero_crossings,0.03439146686508503,0.0,0.006742709212442375,0.0,0.0,0.0,0.0021339900772757423,0.0009791864390529463,0.0035834403,0.0,0.3563520305527033,0.0,0.46205686101206916,0.0020614322318792677,209.0,239.0,34.0,220.0,183.5,257.0,177.0,85.0,81.0,218.5,64.0,226.5,224.0,187.0,171.82142857142858
aVL_shannon_entropy,0.04647632796301241,0.0,0.004699544443079722,0.00037706568368535474,0.0,0.0,0.004230376306001918,0.0,0.0024946127,0.0,0.31326640690907537,0.0,0.11115520499317419,0.026731187582041738,170.0,239.0,60.0,61.0,183.5,257.0,83.0,232.5,239.0,218.5,86.0,226.5,288.0,63.0,171.92857142857142
V6_zero_crossings,0.04358220290012711,0.0,0.0012595706523725813,0.0,0.0,0.0,0.0039565959231404714,0.0024828946177194848,0.0032610523,0.0004876254326746475,0.21084036304121365,0.0,0.3055740919059839,0.013229638276385236,181.0,239.0,195.0,220.0,183.5,257.0,89.0,56.0,121.0,74.0,205.0,226.5,248.0,116.0,172.21428571428572
aVR_rms,0.025572343846523328,0.0,0.0049227335322953305,0.0,0.0,0.0,0.005487064852270673,0.0011562708229406853,0.0026289602,0.0,0.30758680947561085,0.0,0.19580831285217815,0.027029319329860302,250.5,239.0,55.0,220.0,183.5,257.0,44.0,81.0,218.0,218.5,93.0,226.5,267.5,62.0,172.53571428571428
V5_skewness,0.028308216449229588,0.0,0.0002968218830584951,0.0,0.0,0.00046204617241995903,0.008110403834213473,0.0,0.0028706766,0.0,0.3212567170804848,0.000212815463073029,2.2049507063600684,0.0,237.0,239.0,241.0,220.0,183.5,116.0,18.0,232.5,181.0,218.5,77.0,93.0,105.0,275.5,174.07142857142858
I_qtc_mean,0.02030667814170077,0.0,0.002448797403007249,0.0,0.0,0.0,0.001984070118829086,0.0,0.0050653527,0.0,0.3844929589033115,0.0017175783098451669,1.5708465544520942,0.0,270.0,239.0,129.0,220.0,183.5,257.0,190.0,232.5,7.0,218.5,52.0,31.0,134.0,275.5,174.21428571428572
II_qtc_mean,0.10899199836228911,0.0006935008276322061,0.002962690095760292,0.0,0.0,0.0002945801113018907,0.0019128045820038396,0.0,0.0019203577,0.00043295026183372645,0.2453211437328726,0.0,1.0143943483184685,0.0,39.0,105.0,108.0,220.0,183.5,144.0,195.0,232.5,311.0,76.0,157.0,226.5,172.0,275.5,174.64285714285714
II_heart_rate,0.05499204661611922,0.0,0.0036462014932001226,0.0,0.0,0.0,0.002167277298586026,0.0,0.0035127534,0.0,0.18698896758642172,0.0010723461518424417,6.656088936138247,0.0,155.0,239.0,80.0,220.0,183.5,257.0,176.0,232.5,93.0,218.5,234.0,51.0,40.0,275.5,175.35714285714286
aVF_skewness,0.005438196650436424,0.0,0.003031626058131259,0.0,0.0,0.0,0.0019641789045765153,0.0008577490441711781,0.0032222066,0.0,0.31739370380294224,0.0,1.8567979943123485,0.03136607261510216,340.0,239.0,105.0,220.0,183.5,257.0,192.0,95.0,127.0,218.5,79.0,226.5,119.0,54.0,175.39285714285714
V5_p_amplitude_var,0.06698949321480827,0.005148820549136925,0.002117724560642633,0.0006215114842726979,0.0,0.0012472548267796954,0.0003890259795206511,0.0,0.0028454617,0.0,0.18951238078764626,0.0,0.44726347396525473,0.0,112.0,17.0,145.0,48.0,183.5,46.0,307.0,232.5,188.0,218.5,230.0,226.5,228.0,275.5,175.53571428571428
V5_qtc_mean,0.041790805456944705,0.0007879139851547861,0.001988731053429938,0.0,0.0,0.0,0.0013482298527173649,0.002050196605996992,0.0029364366,0.0,0.22471732004280454,5.771048674358592e-05,3.061939344731742e-05,0.03724295941062472,187.0,104.0,156.0,220.0,183.5,257.0,237.0,64.0,167.0,218.5,182.0,99.0,353.0,32.0,175.71428571428572
CH_PRZEW_Brak,0.06966345180470936,0.0030510582926437835,0.00169836666643169,0.0,0.0,0.0013094985639727785,0.00012019489432594488,0.0018249975424197188,0.0015131,0.0,0.048865134179613925,0.0,6.9395437512121525,0.004765762285398045,106.0,35.0,176.0,220.0,183.5,43.0,324.0,75.0,323.0,218.5,327.0,226.5,37.0,168.0,175.89285714285714
I_heart_rate,0.007066423681121033,0.0,0.0036879609459695146,0.0,0.0,0.0,0.0006533358276801247,0.0,0.0040206937,0.0,0.25715783705528805,0.00023998376523372424,9.765894471709705,0.010344226710790272,327.0,239.0,79.0,220.0,183.5,257.0,284.0,232.5,37.0,218.5,142.0,91.0,23.0,135.0,176.32142857142858
II_st_level,0.011658214430840714,0.0,0.004934032556931302,0.0003538460912322268,0.0,0.0,0.001741565435656685,0.000681735322345195,0.0028902139,0.000716020890548034,0.15977050680096178,0.0,0.03628909908582409,0.050757792719290595,304.0,239.0,54.0,64.0,183.5,257.0,210.0,109.0,177.0,64.0,264.0,226.5,310.0,10.0,176.57142857142858
I_p_duration,0.0802088743371832,0.0,0.0,0.0,0.0,0.0012457148542021567,0.00371232291832667,0.0,0.0035607072,0.0,0.27790547456345754,0.0,1.5131436470111326,0.0,88.0,239.0,305.0,220.0,183.5,47.0,96.0,232.5,85.0,218.5,124.0,226.5,138.0,275.5,177.03571428571428
V5_hrv_rmssd,0.11600404347691733,0.0014657221188381648,0.0,0.0,0.0,0.0003357211600696729,0.0013972123368047008,0.0,0.0031653827,0.0,0.14718652577612507,0.0,1.1523373542650444,0.02735559241479235,30.0,73.0,305.0,220.0,183.5,133.0,232.0,232.5,131.0,218.5,275.0,226.5,158.0,61.0,177.07142857142858
V2_p_duration,0.0346720627440091,0.0,0.0,0.0,0.0,0.0,0.002038791244970515,0.005250488999256924,0.0038826084,0.0026386152077529567,0.32895162044395315,0.0,0.5335453916209018,0.0,207.0,239.0,305.0,220.0,183.5,257.0,185.0,20.0,47.0,30.0,73.0,226.5,213.0,275.5,177.25
III_st_level,0.058167889232781676,0.0,0.0,0.0,0.0,0.0,0.0029019766760669603,0.003010513236347451,0.00259513,0.0004728386273085175,0.15944397952613784,0.00020632702929193923,1.4340198986014423,0.005665660096687342,146.0,239.0,305.0,220.0,183.5,257.0,128.0,46.0,223.0,75.0,265.0,94.0,141.0,161.0,177.39285714285714
Na (1. gaz. 1 TISS),0.008262347236389729,0.0,0.004826398728999525,0.0018055799047719432,0.0,0.0013292207554655106,0.004236526924833001,0.0,0.0020507446,0.0,0.2617216899861904,0.0,1.179115323926418,0.0,321.0,239.0,58.0,17.0,183.5,40.0,82.0,232.5,304.0,218.5,137.0,226.5,155.0,275.5,177.82142857142858
III_heart_rate,0.10312762677500656,0.0010554489911349938,0.002114148579149143,0.0,0.0,0.0,0.0004829205550965782,0.0,0.0038459555,0.0,0.11329265979819815,0.0,4.195893883834861,0.007340386286194045,51.0,92.0,146.0,220.0,183.5,257.0,301.0,232.5,49.0,218.5,304.0,226.5,61.0,152.0,178.14285714285714
V4_mean,0.06155471757070053,0.0,0.002071995980774183,0.0,0.0,0.0,0.005563568800978332,0.0,0.003421693,0.0,0.23432284988346824,0.0,1.7374081737739837,0.00013622175639427248,136.0,239.0,149.0,220.0,183.5,257.0,43.0,232.5,99.0,218.5,174.0,226.5,123.0,197.0,178.42857142857142
marskość wątroby i nadciśnienie wrotne,0.044573372465123204,0.0012732968929987402,0.0,0.0,0.0,0.0009993263324095017,0.00010389608368056662,0.000766258112225271,0.0,0.0,0.10404503975510965,0.0005675005916573043,5.236132458833441,0.032072696348472984,175.5,77.0,305.0,220.0,183.5,65.0,325.0,104.0,342.5,218.5,307.0,73.0,51.5,51.0,178.46428571428572
aVR_qtc_mean,0.0556991404816808,0.0011604659176358458,0.0,0.0,0.0,0.00034743536073187715,0.003483658112225157,0.0,0.004184339,0.0,0.2385817680015998,0.0,0.25399122146490755,0.0006923236274016809,153.0,83.0,305.0,220.0,183.5,130.0,107.0,232.5,26.0,218.5,166.0,226.5,255.0,193.0,178.5
male sex,0.1334296760558425,0.0019722317354166482,0.0,0.0,0.0030153874675565517,0.0013534719186193416,0.00014468673050631632,0.0,0.0011540338,0.0,0.03515869953906104,0.0,1.0691870552475604,0.03509904475669101,20.0,59.0,305.0,220.0,1.0,38.0,321.0,232.5,328.0,218.5,333.0,226.5,164.0,41.0,179.10714285714286
I_qtc_sd,0.04378687251310896,0.0,0.0018332929154376368,0.0,0.0,0.0,0.0016185164684727827,0.0023132013281734493,0.0037142944,0.0,0.20861901924677004,0.0,1.1219833302041535,0.012854352277561043,178.0,239.0,169.0,220.0,183.5,257.0,218.0,59.0,61.0,218.5,208.0,226.5,159.0,118.0,179.60714285714286
V3_st_level,0.015536988838782673,0.0,0.0005291887610158649,0.0,0.0,0.0003081912982726625,0.0015933218758893307,0.0,0.0037687572,0.0,0.2724961380203725,0.0003958765197262869,0.5201772834234396,0.029273058953080522,287.0,239.0,235.0,220.0,183.5,140.0,219.0,232.5,57.0,218.5,129.0,84.0,215.0,58.0,179.82142857142858
V2_p_amplitude,0.030673570660155487,0.0,0.002724508296335715,0.0,0.0,0.0,0.002301404615355147,0.0,0.0036162876,0.0,0.23979622909473308,0.0,0.9208164893020466,0.03797468389197589,220.0,239.0,120.0,220.0,183.5,257.0,165.0,232.5,73.0,218.5,163.0,226.5,177.0,30.0,180.35714285714286
